Test No.,Date,Q No.,Chapter,Attempted,Correct,Difficulty,Remarks
2,2025-05-20,16,Trignometry,No,,,Skipped
2,2025-05-20,17,"Data
Interpretation",No,,,Skipped
2,2025-05-20,18,"Percentages,
Profit &
Loss",No,,,Skipped
2,2025-05-20,19,Trignometry,No,,,Skipped
2,2025-05-20,20,"Data
Interpretation",No,,,Skipped
2,2025-05-20,21,Simplification,No,,,Skipped
2,2025-05-20,22,Mensuration,No,,,Skipped
2,2025-05-20,23,Algebra,No,,,Skipped
2,2025-05-20,24,"Data
Interpretation",No,,,Skipped
2,2025-05-20,25,"Pipes &
Cisterns",No,,,Skipped
3,NaT,1,"Time,Speed&
Distance",Yes,Yes,Easy,
3,NaT,2,"Geometry
(Triangles)",,,Easy,
3,NaT,3,"Percentages,
Profit &
Loss",Yes,Yes,Easy,
3,NaT,4,Trignometry,Yes,Yes,,
3,NaT,5,Algebra,No,,,
3,NaT,6,Trignometry,No,,,Skipped
3,NaT,7,Algebra,Yes,Yes,,
3,NaT,8,"Time,Speed&
Distance",No,,,
3,NaT,9,"Geometry
(Circles)",No,,,
3,NaT,10,"Geometry
(Triangles)",No,,,Skipped
3,NaT,11,Trignometry,Yes,Yes,,
3,NaT,12,"Data
Interpretation",No,,,Skipped
3,NaT,13,Algebra,Yes,Yes,,
3,NaT,14,"Percentages,
Profit &
Loss",No,,,
3,NaT,15,Mensuration,No,,,Skipped
3,NaT,16,"Data
Interpretation",No,,,Skipped
3,NaT,17,Simplification,No,,,Skipped
3,NaT,18,"Data
Interpretation",No,,,Skipped
3,NaT,19,SI/CI,No,,,Skipped
3,NaT,20,"Mixtures&
Alligations",No,,,Skipped
3,NaT,21,"Data
Interpretation",No,,,
3,NaT,22,"Ratio&
Porportions",No,,,Skipped
3,NaT,23,"Number
System",No,,,
3,NaT,24,"Geometry
(Circles)",Yes,Yes,,
3,NaT,25,"Pipes &
Cisterns",Yes,Yes,,
12,2025-05-27,1,"Time,Speed&
Distance",No,,Easy,
12,2025-05-27,2,Simplification,Yes,Yes,Medium,
12,2025-05-27,3,"Ratio&
Porportions",Yes,Yes,Easy,
12,2025-05-27,4,Algebra,Yes,Yes,Easy,
12,2025-05-27,5,"Number
System",Yes,Yes,Easy,
12,2025-05-27,6,"Percentages,
Profit &
Loss",Yes,Yes,Easy,
12,2025-05-27,7,Algebra,Yes,No,Easy,Silly Mistake
12,2025-05-27,8,Mensuration,Yes,Yes,Easy,
12,2025-05-27,9,"Geometry
(Triangles)",Yes,Yes,Medium,
12,2025-05-27,10,Average,Yes,Yes,Easy,
12,2025-05-27,11,"Data
Interpretation",Yes,Yes,Easy,
12,2025-05-27,12,SI/CI,Yes,Yes,Easy,
12,2025-05-27,13,Trignometry,Yes,Yes,Easy,
12,2025-05-27,14,"Data
Interpretation",Yes,No,Easy,
12,2025-05-27,15,"Geometry
(Circles)",Yes,Yes,Medium,
12,2025-05-27,16,"Percentages,
Profit &
Loss",Yes,Yes,Easy,
12,2025-05-27,17,Trignometry,No,,Medium,
12,2025-05-27,18,Geometry,Yes,Yes,Easy,
12,2025-05-27,19,Algebra,No,,Medium,
12,2025-05-27,20,"Percentages,
Profit &
Loss",Yes,Yes,Easy,
12,2025-05-27,21,"Data
Interpretation",Yes,Yes,Easy,
12,2025-05-27,22,Mensuration,No,,Medium,Analytical
12,2025-05-27,23,Trignometry,No,,Easy,Skipped
12,2025-05-27,24,"Pipes &
Cisterns",No,,Medium,Skipped
12,2025-05-27,25,Geometry,No,,Easy,Skipped
14,2025-05-28,1,Mensuration,,,Medium,
14,2025-05-28,2,,,,Medium,
14,2025-05-28,3,"Number
System",,,Medium,
14,2025-05-28,4,,,,,
14,2025-05-28,5,,,,,
14,2025-05-28,6,,,,,
14,2025-05-28,7,,,,,
14,2025-05-28,8,,,,,
14,2025-05-28,9,,,,,
14,2025-05-28,10,,,,,
14,2025-05-28,11,,,,,
14,2025-05-28,12,"Geometry
(Circles)",No,,Hard,
14,2025-05-28,13,,,,Easy,
14,2025-05-28,14,,,,Easy,
14,2025-05-28,15,"Pipes &
Cisterns",,,Medium,
14,2025-05-28,16,Trignometry,,,Hard,
14,2025-05-28,17,,,,,
14,2025-05-28,18,,,,,
14,2025-05-28,19,,,,,
14,2025-05-28,20,,,,,
14,2025-05-28,21,,,,,
14,2025-05-28,22,,,,,
14,2025-05-28,23,,,,,
14,2025-05-28,24,,,,,
14,2025-05-28,25,,,,,
6,2025-05-28,1,,,,Medium,
6,2025-05-28,2,,,,Medium,
6,2025-05-28,3,,,,Medium,
6,2025-05-28,4,,,,,
6,2025-05-28,5,,,,,
6,2025-05-28,6,,,,,
6,2025-05-28,7,,,,,
6,2025-05-28,8,,,,,
6,2025-05-28,9,,,,,
6,2025-05-28,10,,,,,
6,2025-05-28,11,,,,,
6,2025-05-28,12,,,,Hard,
6,2025-05-28,13,,,,Easy,
6,2025-05-28,14,,,,Easy,
6,2025-05-28,15,,,,Medium,
6,2025-05-28,16,,,,Hard,
6,2025-05-28,17,,,,,
6,2025-05-28,18,,,,,
6,2025-05-28,19,,,,,
6,2025-05-28,20,,,,,
6,2025-05-28,21,,,,,
6,2025-05-28,22,Trignometry,,,Medium,
6,2025-05-28,23,,,,,
6,2025-05-28,24,,,,,
6,2025-05-28,25,,,,,
